idNhanh,parentId,productName,facebookID,productName,
9024673,-1,(KO DÙNG) Tough Glass iPhone 7Plus,0,(KO DÙNG) Tough Glass iPhone 7Plus,Giang
5537284,-1,39 mẫu ốp in hình cho iphone 5,0,39 mẫu ốp in hình cho iphone 5,Giang
14200885,-2,Adapter Apple Watch,0,Adapter Apple Watch,Giang
14229141,14200885,Adapter Apple Watch 38-20mm Bạc,#N/A,Adapter Apple Watch 38-20mm,
14229044,14200885,Adapter Apple Watch 38-20mm Đen,#N/A,Adapter Apple Watch 38-20mm,
14229045,14200885,Adapter Apple Watch 38-20mm Vàng,#N/A,Adapter Apple Watch 38-20mm,
14229046,14200885,Adapter Apple Watch 40-20mm Bạc,#N/A,Adapter Apple Watch 40-20mm,
14229047,14200885,Adapter Apple Watch 40-20mm Đen,#N/A,Adapter Apple Watch 40-20mm,
14229048,14200885,Adapter Apple Watch 40-20mm Vàng,#N/A,Adapter Apple Watch 40-20mm,
15374393,-2,Adapter chia cổng lighting,0,Adapter chia cổng lighting,Giang
9019362,15374393,Adapter chia cổng lighting màu Bạc,#N/A,Adapter chia cổng lighting,
9019358,15374393,Adapter chia cổng lighting màu đen,#N/A,Adapter chia cổng lighting,
5537285,-1,adapter sim,0,adapter sim,Giang
5538542,-1,Amber Wood: dây chuyền Ngũ Mộc Hổ Phách,2471,Amber Wood: dây chuyền Ngũ Mộc Hổ Phách,Giang
8849520,-1,AnicaIpXmin màu đen,3300,Điện thoại iPhone X Mini Anica chính hãng,Giang
10981878,-2,Áo Phao BSK size M,0,Áo Phao BSK size M,Giang
10981880,10981878,Áo Phao BSK size M- Đen,#N/A,Áo Phao BSK size M,
10981879,10981878,Áo Phao BSK size M- Đỏ,#N/A,Áo Phao BSK size M,
10981881,10981878,Áo Phao BSK size M- Tím than,#N/A,Áo Phao BSK size M,
14761074,-1,Bàn phím Bluetooth gập gọn,0,Bàn phím Bluetooth gập gọn,Giang
5535754,-1,Bàn phím LASER Kb320 (đen),2367,Bàn phím laser kết nối bluetooth KB Digital,Giang
5537288,-1,Bàn phím laser kết nối bluetooth KB Digital (trắng),2367,Bàn phím laser kết nối bluetooth KB Digital,Giang
7337033,-1,bảng số điện thoại phản quang ô tô,3374,bảng số điện thoại phản quang ô tô,Giang
17058179,-2,Bảng vẽ 3D,0,Bảng vẽ 3D,Giang
14760997,17058179,Bảng vẽ 3D màu đỏ,#N/A,Bảng vẽ 3D,
14760920,17058179,Bảng vẽ 3D màu xanh,#N/A,Bảng vẽ 3D,
8845742,-2,BẢNG VIẾT LCD,3296,Bảng vẽ thông minh LCD Hightech,Giang
8845767,8845742,Bảng viết LCD màu đen,#N/A,Bảng viết LCD,
8845768,8845742,Bảng viết LCD màu đỏ,#N/A,Bảng viết LCD,
8845769,8845742,Bảng viết LCD màu xanh,#N/A,Bảng viết LCD,
6065151,-1,Bao clear view A5 2016 Gold,2822,Bao da Clear view A5-A7 chính hãng Samsung,Giang
6065145,-1,Bao clear view A5 2016 Hồng,2822,Bao da Clear view A5-A7 chính hãng Samsung,Giang
6065148,-1,Bao clear view A5 2016 Xanh,2822,Bao da Clear view A5-A7 chính hãng Samsung,Giang
5828336,-1,Bao clear view A5 2017 đen,2719,Bao da Clear view A5-A7 (2017) chính hãng Samsung,Giang
5828338,-1,Bao clear view A5 2017 hồng,2719,Bao da Clear view A5-A7 (2017) chính hãng Samsung,Giang
5828335,-1,Bao clear view A5 2017 vàng,2719,Bao da Clear view A5-A7 (2017) chính hãng Samsung,Giang
5828337,-1,Bao clear view A5 2017 xanh,2719,Bao da Clear view A5-A7 (2017) chính hãng Samsung,Giang
6358923,-1,Bao clear view A7 2016 vàng,2822,Bao da Clear view A5-A7 chính hãng Samsung,Giang
5828340,-1,Bao clear view A7 2017 đen,2719,Bao da Clear view A5-A7 (2017) chính hãng Samsung,Giang
5828342,-1,Bao clear view A7 2017 hồng,2719,Bao da Clear view A5-A7 (2017) chính hãng Samsung,Giang
5828339,-1,Bao clear view A7 2017 vàng,2719,Bao da Clear view A5-A7 (2017) chính hãng Samsung,Giang
5828341,-1,Bao clear view A7 2017 xanh,2719,Bao da Clear view A5-A7 (2017) chính hãng Samsung,Giang
15374394,-2,Bao clear view iphone 5 5s,1752,Bao da Clear View Iphone SE 5-5S,Giang
5537312,15374394,Bao clear view iphone 5 5s Bạc,#N/A,Bao clear view iphone 5 5s,
5537314,15374394,Bao clear view iphone 5 5s đen,#N/A,Bao clear view iphone 5 5s,
5537313,15374394,Bao clear view iphone 5 5s hồng,#N/A,Bao clear view iphone 5 5s,
5537310,15374394,Bao clear view iphone 5 5s tiệp,#N/A,Bao clear view iphone 5 5s,
5537311,15374394,Bao clear view iphone 5 5s vàng,#N/A,Bao clear view iphone 5 5s,
5537315,15374394,Bao clear view iphone 5 5s xanh lam,#N/A,Bao clear view iphone 5 5s,
15374395,-2,Bao clear view iphone 6s,2366,Bao da Clear View Iphone,Giang
5537319,15374395,Bao clear view iphone 6s bạc,#N/A,Bao clear view iphone 6s,
5537321,15374395,Bao clear view iphone 6s đen,#N/A,Bao clear view iphone 6s,
5537316,15374395,Bao clear view iphone 6s hồng,#N/A,Bao clear view iphone 6s,
15374396,-2,Bao clear view iphone 6s plus,2366,Bao da Clear View Iphone,Giang
5537325,15374396,Bao clear view iphone 6s plus bạc,#N/A,Bao clear view iphone 6s plus,
5537327,15374396,Bao clear view iphone 6s plus đen,#N/A,Bao clear view iphone 6s plus,
5537326,15374396,Bao clear view iphone 6s plus gold,#N/A,Bao clear view iphone 6s plus,
5537322,15374396,Bao clear view iphone 6s plus hồng,#N/A,Bao clear view iphone 6s plus,
5537324,15374396,Bao clear view iphone 6s plus tiệp,#N/A,Bao clear view iphone 6s plus,
5537323,15374396,Bao clear view iphone 6s plus xanh lam,#N/A,Bao clear view iphone 6s plus,
5537318,15374395,Bao clear view iphone 6s tiệp,#N/A,Bao clear view iphone 6s,
5537320,15374395,Bao clear view iphone 6s vàng,#N/A,Bao clear view iphone 6s,
5537317,15374395,Bao clear view iphone 6s xanh lam,#N/A,Bao clear view iphone 6s,
15374397,-2,Bao Clear view iPhone 7,2366,Bao da Clear View Iphone,Giang
5537333,15374397,Bao Clear view iPhone 7 bạc,#N/A,Bao Clear view iPhone 7,
5537328,15374397,Bao Clear view iPhone 7 đen,#N/A,Bao Clear view iPhone 7,
